Capacity	LoadFactor	InsertNumKVs	InsertTime	InsertIter	StashCount	FailCount	LookupNumKVs	LookupTime
1024	0.0996094	102	0.027648	12	0	0	51	0.00512
1024	0.199219	204	0.06656	20	0	0	102	0.00512
1024	0.299805	307	0.106496	28	0	0	153	0.00512
1024	0.399414	409	0.1536	36	0	0	204	0.00512
1024	0.5	512	0.136192	48	0	0	256	0.006144
1024	0.599609	614	0.2048	68	0	0	307	0.006144
1024	0.699219	716	0.101376	100	0	0	358	0.00512
1024	0.799805	819	0.073728	168	0	0	409	0.00512
1024	0.899414	921	0.151552	420	0	0	460	0.00512
16384	0.0999756	1638	0.06656	20	0	0	819	0.003072
16384	0.199951	3276	0.05424	28	0	0	1638	0.00512
16384	0.299988	4915	0.086016	36	0	0	2457	0.003072
16384	0.399963	6553	0.021504	52	0	0	3276	0.004096
16384	0.5	8192	0.069248	68	0	0	4096	0.004096
16384	0.599976	9830	0.02048	96	0	0	4915	0.00512
16384	0.699951	11468	0.028672	140	0	0	5734	0.004096
16384	0.799988	13107	0.03072	240	0	0	6553	0.006144
16384	0.899963	14745	0.058368	592	0	0	7372	0.00512
262144	0.0999985	26214	0.039936	24	0	0	13107	0.008192
262144	0.199997	52428	0.058368	36	0	0	26214	0.015264
262144	0.299999	78643	0.086016	48	0	0	39321	0.020384
262144	0.399998	104857	0.113664	68	0	0	52428	0.02928
262144	0.5	131072	0.14848	88	0	0	65536	0.03856
262144	0.599998	157286	0.183296	124	0	0	78643	0.045952
262144	0.699997	183500	0.224256	184	0	0	91750	0.057696
262144	0.799999	209715	0.290816	308	0	0	104857	0.071424
262144	0.899998	235929	0.453632	764	0	0	117964	0.083776
4194304	0.0999999	419430	0.789504	32	0	0	209715	0.191488
4194304	0.2	838860	1.59949	44	0	0	419430	0.388096
4194304	0.3	1258291	2.52314	60	0	0	629145	0.612352
4194304	0.4	1677721	3.43859	80	0	0	838860	0.934176
4194304	0.5	2097152	4.52403	112	0	0	1048576	1.16326
4194304	0.6	2516582	5.81734	152	0	0	1258291	1.55405
4194304	0.7	2936012	7.44038	224	0	0	1468006	1.95782
4194304	0.8	3355443	9.84678	380	0	0	1677721	2.46102
4194304	0.9	3774873	15.5976	932	0	0	1887436	3.03146
67108864	0.1	6710886	12.8502	36	0	0	3355443	3.02694
67108864	0.2	13421772	27.7023	52	0	0	6710886	6.31466
67108864	0.3	20132659	42.4325	72	0	0	10066329	10.0086
67108864	0.4	26843545	59.1268	96	0	0	13421772	14.8719
67108864	0.5	33554432	77.8783	132	0	0	16777216	19.8052
67108864	0.6	40265318	100.259	180	0	0	20132659	26.1046
67108864	0.7	46976204	127.147	268	0	0	23488102	33.1704
67108864	0.8	53687091	168.202	448	0	0	26843545	42.0419
67108864	0.9	60397977	250.576	1104	0	0	30198988	52.1998
