Capacity	LoadFactor	InsertNumKVs	InsertTime	InsertIter	StashCount	FailCount	LookupNumKVs	LookupTime
1024	0.0996094	102	0.090112	12	0	0	51	0.00512
1024	0.199219	204	0.113664	20	0	0	102	0.004096
1024	0.299805	307	0.063488	28	0	0	153	0.004096
1024	0.399414	409	0.13824	36	0	0	204	0.00512
1024	0.5	512	0.027648	48	0	0	256	0.004096
1024	0.599609	614	0.04096	68	6	0	307	0.00512
1024	0.699219	716	0.048128	100	18	7	358	0.00512
1024	0.799805	819	0.069632	168	40	10	409	0.004096
1024	0.899414	921	0.13824	420	64	29	460	0.00512
16384	0.0999756	1638	0.059392	20	0	0	819	0.004096
16384	0.199951	3276	0.041984	28	0	0	1638	0.004096
16384	0.299988	4915	0.108544	36	0	0	2457	0.004096
16384	0.399963	6553	0.059392	52	0	0	3276	0.004096
16384	0.5	8192	0.048128	68	0	0	4096	0.00512
16384	0.599976	9830	0.100352	96	43	21	4915	0.00512
16384	0.699951	11468	0.0768	140	98	274	5734	0.00512
16384	0.799988	13107	0.135168	240	101	813	6553	0.006144
16384	0.899963	14745	0.359424	592	101	1640	7372	0.00512
262144	0.0999985	26214	0.034816	24	0	0	13107	0.008096
262144	0.199997	52428	0.064512	36	0	0	26214	0.014624
262144	0.299999	78643	0.091136	48	0	0	39321	0.020224
262144	0.399998	104857	0.129024	68	0	0	52428	0.029088
262144	0.5	131072	0.193536	88	1	0	65536	0.035232
262144	0.599998	157286	0.33792	124	101	891	78643	0.04608
262144	0.699997	183500	1.07622	184	101	5463	91750	0.057216
262144	0.799999	209715	3.74784	308	101	14296	104857	0.0664
262144	0.899998	235929	16.3492	764	101	26903	117964	0.077536
4194304	0.0999999	419430	0.805888	32	0	0	209715	0.193984
4194304	0.2	838860	1.69574	44	0	0	419430	0.400384
4194304	0.3	1258291	2.75558	60	0	0	629145	0.631104
4194304	0.4	1677721	4.09702	80	0	0	838860	0.926688
4194304	0.5	2097152	6.21773	112	11	2	1048576	1.14784
4194304	0.6	2516582	18.2958	152	101	16309	1258291	1.4551
4194304	0.7	2936012	72.3272	224	101	91644	1468006	1.80736
4194304	0.8	3355443	246.07	380	101	232755	1677721	2.20979
4194304	0.9	3774873	996.509	932	101	431805	1887436	2.66954
67108864	0.1	6710886	13.8721	36	0	0	3355443	3.08835
67108864	0.2	13421772	27.8825	52	0	0	6710886	6.55949
67108864	0.3	20132659	47.3078	72	0	0	10066329	10.4372
67108864	0.4	26843545	70.3662	96	0	0	13421772	15.3844
67108864	0.5	33554432	213.807	132	88	84	16777216	98.0971
67108864	0.6	40265318	348.176	180	101	228065	20132659	25.0429
67108864	0.7	46976204	1416.38	268	101	1346800	23488102	30.6539
67108864	0.8	53687091	7593.31	448	101	3511774	26843545	192.038
67108864	0.9	60397977	43793.1	1104	101	6591898	30198988	231.79
