Capacity	LoadFactor	InsertNumKVs	InsertTime	InsertIter	StashCount	FailCount	LookupNumKVs	LookupTime
1024	0.0996094	102	0.0256	12	0	0	51	0.00512
1024	0.199219	204	0.093184	20	0	0	102	0.00512
1024	0.299805	307	0.022528	28	0	0	153	0.00512
1024	0.399414	409	0.105472	36	0	0	204	0.00512
1024	0.5	512	0.116736	48	0	0	256	0.00512
1024	0.599609	614	0.11776	68	6	0	307	0.00512
1024	0.699219	716	0.052224	100	21	4	358	0.00512
1024	0.799805	819	0.171008	168	36	14	409	0.00512
1024	0.899414	921	0.13312	420	58	35	460	0.00512
16384	0.0999756	1638	0.091136	20	0	0	819	0.004096
16384	0.199951	3276	0.045056	28	0	0	1638	0.004096
16384	0.299988	4915	0.118784	36	0	0	2457	0.004096
16384	0.399963	6553	0.642048	52	0	0	3276	0.00512
16384	0.5	8192	0.11776	68	0	0	4096	0.004096
16384	0.599976	9830	0.038912	96	44	20	4915	0.00512
16384	0.699951	11468	0.08192	140	100	272	5734	0.006144
16384	0.799988	13107	0.251904	240	101	813	6553	0.006144
16384	0.899963	14745	0.336896	592	101	1640	7372	0.00512
262144	0.0999985	26214	0.036864	24	0	0	13107	0.008736
262144	0.199997	52428	0.062464	36	0	0	26214	0.015328
262144	0.299999	78643	0.098304	48	0	0	39321	0.02096
262144	0.399998	104857	0.130048	68	0	0	52428	0.028576
262144	0.5	131072	0.195584	88	0	0	65536	0.035488
262144	0.599998	157286	0.336896	124	101	894	78643	0.044032
262144	0.699997	183500	1.03219	184	101	5463	91750	0.051712
262144	0.799999	209715	3.68742	308	101	14298	104857	0.060832
262144	0.899998	235929	16.298	764	101	26898	117964	0.06752
4194304	0.0999999	419430	0.801792	32	0	0	209715	0.195104
4194304	0.2	838860	1.73466	44	0	0	419430	0.401408
4194304	0.3	1258291	2.7648	60	0	0	629145	0.633696
4194304	0.4	1677721	4.08986	80	0	0	838860	0.888832
4194304	0.5	2097152	6.53005	112	19	2	1048576	1.16202
4194304	0.6	2516582	19.4816	152	101	16284	1258291	1.44061
4194304	0.7	2936012	73.0819	224	101	91623	1468006	1.73798
4194304	0.8	3355443	248.119	380	101	232704	1677721	2.04186
4194304	0.9	3774873	1000.57	932	101	431824	1887436	2.41811
67108864	0.1	6710886	13.1871	36	0	0	3355443	3.11731
67108864	0.2	13421772	29.5588	52	0	0	6710886	6.62118
67108864	0.3	20132659	46.9852	72	0	0	10066329	10.516
67108864	0.4	26843545	70.4635	96	0	0	13421772	14.7491
67108864	0.5	33554432	107.4	132	85	98	16777216	19.982
67108864	0.6	40265318	344.673	180	101	227895	20132659	24.7511
67108864	0.7	46976204	1408.06	268	101	1346851	23488102	29.8858
67108864	0.8	53687091	4735.53	448	101	3511536	26843545	35.6836
67108864	0.9	60397977	19268.2	1104	101	6591985	30198988	40.2847
