Capacity	LoadFactor	InsertNumKVs	InsertTime	LookupNumKVs	LookupTime
1024	0.0996094	102	0.006144	51	0.003072
1024	0.199219	204	0.007168	102	0.006144
1024	0.299805	307	0.006144	153	0.004096
1024	0.399414	409	0.007168	204	0.004096
1024	0.5	512	0.01024	256	0.006144
1024	0.599609	614	0.008192	307	0.007168
1024	0.699219	716	0.01024	358	0.008192
1024	0.799805	819	0.016384	409	0.01536
1024	0.899414	921	0.019456	460	0.017408
16384	0.0999756	1638	0.00512	819	0.00512
16384	0.199951	3276	0.00512	1638	0.00512
16384	0.299988	4915	0.008192	2457	0.006144
16384	0.399963	6553	0.007168	3276	0.007168
16384	0.5	8192	0.009216	4096	0.007168
16384	0.599976	9830	0.011072	4915	0.01024
16384	0.699951	11468	0.020064	5734	0.018432
16384	0.799988	13107	0.024288	6553	0.0256
16384	0.899963	14745	0.111616	7372	0.109568
262144	0.0999985	26214	0.033152	13107	0.007648
262144	0.199997	52428	0.068608	26214	0.014336
262144	0.299999	78643	0.09824	39321	0.019456
262144	0.399998	104857	0.135168	52428	0.027552
262144	0.5	131072	0.17504	65536	0.033376
262144	0.599998	157286	0.217632	78643	0.03984
262144	0.699997	183500	0.280576	91750	0.047008
262144	0.799999	209715	0.36096	104857	0.052544
262144	0.899998	235929	0.617024	117964	0.062784
4194304	0.0999999	419430	1.15328	209715	0.18432
4194304	0.2	838860	2.35827	419430	0.362752
4194304	0.3	1258291	3.60582	629145	0.54416
4194304	0.4	1677721	4.91414	838860	0.734208
4194304	0.5	2097152	6.28112	1048576	0.924672
4194304	0.6	2516582	7.7761	1258291	1.19856
4194304	0.7	2936012	9.44931	1468006	1.3312
4194304	0.8	3355443	11.6588	1677721	1.54467
4194304	0.9	3774873	16.4116	1887436	1.77357
67108864	0.1	6710886	19.3475	3355443	2.944
67108864	0.2	13421772	41.1717	6710886	5.94502
67108864	0.3	20132659	61.7788	10066329	9.02115
67108864	0.4	26843545	85.4229	13421772	12.1562
67108864	0.5	33554432	109.017	16777216	16.2513
67108864	0.6	40265318	134.597	20132659	19.6928
67108864	0.7	46976204	164.451	23488102	22.9814
67108864	0.8	53687091	202.404	26843545	26.4745
67108864	0.9	60397977	285.065	30198988	30.4111
